Compte;Débit;Crédit;Solde;Débit;Crédit;Solde;Débit;Crédit;Solde
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
1;10000;1646.65;8353.35;1733.39;4933.39;-3200;11733.39;6580.04;5153.35
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
2;0;154;-154;3200;3200;0;3200;3354;-154
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
3;0;0;0;0;0;0;0;0;0
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
4;154;726.44;-572.44;2976.68;3196.13;-219.45;3130.68;3922.57;-791.89
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
5;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
6;0;0;0;0;1602.79;-1602.79;0;1602.79;-1602.79
1010000;10000;0;10000;0;4000;-4000;10000;4000;6000
1041000;0;0;0;800;0;800;800;0;800
1190000;0;713.26;-713.26;0;933.39;-933.39;0;1646.65;-1646.65
1290000;0;933.39;-933.39;933.39;0;933.39;933.39;933.39;0
2755000;0;154;-154;0;0;0;0;154;-154
2770000;0;0;0;3200;3200;0;3200;3200;0
4010000;0;0;0;1822.24;1822.24;0;1822.24;1822.24;0
4040000;154;154;0;0;0;0;154;154;0
4456611;0;154.44;-154.44;154.44;219.89;-65.45;154.44;374.33;-219.89
4456700;0;418;-418;0;154;-154;0;572;-572
4551000;0;0;0;1000;1000;0;1000;1000;0
5120000;6714.56;14341.47;-7626.91;5022.24;1000;4022.24;11736.8;15341.47;-3604.67
6064000;0;0;0;0;856.71;-856.71;0;856.71;-856.71
6132000;0;0;0;0;546.68;-546.68;0;546.68;-546.68
6227000;0;0;0;0;198.96;-198.96;0;198.96;-198.96
6580000;0;0;0;0;0.44;-0.44;0;0.44;-0.44
7788100;0;0;0;1000;0;1000;1000;0;1000
7;0;0;0;1000;0;1000;1000;0;1000
